,1,2
0,755.30047,-0.6828737259
1,755.310422,-0.7167596817
2,755.320373,-0.6374387741
3,755.330325,-0.6459522247
4,755.340276,-0.661190033
5,755.350228,-0.654589653
6,755.360179,-0.6333351135
7,755.370131,-0.6674566269
8,755.380082,-0.6910743713
9,755.390033,-0.6896095276
10,755.399985,-0.6963644028
11,755.409936,-0.6414585114
12,755.419888,-0.6018381119
13,755.429839,-0.596991539
14,755.439791,-0.5292644501
15,755.4497421,-0.5991401672
16,755.4596941,-0.5754394531
17,755.4696451,-0.6620368958
18,755.4795961,-0.6690979004
19,755.4895481,-0.6914873123
20,755.4994991,-0.7525377274
21,755.5094511,-0.7791805267
22,755.5194021,-0.846452713
23,755.5293541,-0.7570714951
24,755.5393051,-0.6336507797
25,755.5492571,-0.5266647339
26,755.5592081,-0.5516796112
27,755.5691591,-0.5571947098
28,755.5791111,-0.5659141541
29,755.5890621,-0.595161438
30,755.5990141,-0.595161438
31,755.6089651,-0.6649751663
32,755.6189171,-0.7448396683
33,755.6288681,-0.7446565628
34,755.6388201,-0.7413187027
35,755.6487711,-0.6912584305
36,755.6587221,-0.7218208313
37,755.6686741,-0.7570123672
38,755.6786251,-0.7355461121
39,755.6885771,-0.7260093689
40,755.6985281,-0.6958084106
41,755.7084801,-0.6658391953
42,755.7184311,-0.736199379
43,755.7283831,-0.6856307983
44,755.7383341,-0.6250858307
45,755.7482851,-0.5768852234
46,755.7582371,-0.5203542709
47,755.7681881,-0.4381694794
48,755.7781401,-0.4864091873
49,755.7880911,-0.5604934692
50,755.7980431,-0.5354804993
51,755.8079941,-0.5862379074
52,755.8179461,-0.5658836365
53,755.8278971,-0.5572090149
54,755.8378491,-0.6329097748
55,755.8478001,-0.5936527252
56,755.8577511,-0.5366544724
57,755.8677031,-0.4392061234
58,755.8776541,-0.3786249161
59,755.8876061,-0.3967838287
60,755.8975571,-0.4509973526
61,755.9075091,-0.4274568558
62,755.9174601,-0.504199028
63,755.9274121,-0.5870065689
64,755.9373631,-0.5875091553
65,755.9473151,-0.5588445663
66,755.9572661,-0.5183095932
67,755.9672171,-0.5196313858
68,755.9771691,-0.5096597672
69,755.9871201,-0.5526580811
70,755.9970721,-0.5748186111
71,756.0070231,-0.6086988449
72,756.0169751,-0.6181669235
73,756.0269261,-0.5499954224
74,756.0368781,-0.5531778336
75,756.0468291,-0.5307559967
76,756.0567801,-0.4655704498
77,756.0667321,-0.4412651062
78,756.0766831,-0.4668769836
79,756.0866351,-0.5592021942
80,756.0965861,-0.5871162415
81,756.1065381,-0.5648784637
82,756.1164891,-0.6027154922
83,756.1264411,-0.6666231155
84,756.1363921,-0.7902164459
85,756.1463441,-0.7122812271
86,756.1562951,-0.5485963821
87,756.1662461,-0.4802103043
88,756.1761981,-0.5528345108
89,756.1861491,-0.6669340134
90,756.1961011,-0.6793441772
91,756.2060521,-0.6808347702
92,756.2160041,-0.8526945114
93,756.2259551,-1.001314163
94,756.2359071,-0.9407081604
95,756.2458581,-0.7930784225
96,756.2558101,-0.7430276871
97,756.2657611,-0.7747497559
98,756.2757121,-0.8454313278
99,756.2856641,-0.8188171387
100,756.2956151,-0.8188171387
101,756.3055671,-0.7166109085
102,756.3155181,-0.6424722672
103,756.3254701,-0.5185098648
104,756.3354211,-0.4076795578
105,756.3453731,-0.4372224808
106,756.3553241,-0.5158205032
107,756.3652751,-0.596154213
108,756.3752271,-0.5715112686
109,756.3851781,-0.6399707794
110,756.3951301,-0.6654262543
111,756.4050811,-0.6107664108
112,756.4150331,-0.5928192139
113,756.4249841,-0.7066736221
114,756.4349361,-0.7353115082
115,756.4448907,-0.7239665985
116,756.4548427,-0.6494340897
117,756.4647937,-0.6361904144
118,756.4747447,-0.6636295319
119,756.4846967,-0.7473487854
120,756.4946477,-0.7160615921
121,756.5045997,-0.7946271896
122,756.5145507,-0.8363962173
123,756.5245027,-0.8262004852
124,756.5344537,-0.824379921
125,756.5444057,-0.7921285629
126,756.5543567,-0.8652563095
127,756.5643077,-0.915520668
128,756.5742597,-0.9028091431
129,756.5842107,-0.8324184418
130,756.5941627,-0.794875145
131,756.6041137,-0.7887849808
132,756.6140657,-0.8228998184
133,756.6240167,-0.8221302032
134,756.6339687,-0.8256444931
135,756.6439197,-0.8605499268
136,756.6538717,-0.8572101593
137,756.6638227,-0.8415555954
138,756.6737737,-0.8980226517
139,756.6837257,-1.038492203
140,756.6936767,-1.129689217
141,756.7036287,-1.081546783
142,756.7135797,-1.046624184
143,756.7235317,-0.8868627548
144,756.7334827,-0.8640766144
145,756.7434347,-0.922246933
146,756.7533857,-0.9480600357
147,756.7633377,-0.8771057129
148,756.7732887,-0.806479454
149,756.7832397,-0.7810192108
150,756.7931917,-0.7194986343
151,756.8031427,-0.7125997543
152,756.8130947,-0.7197399139
153,756.8230457,-0.6880750656
154,756.8329977,-0.6897277832
155,756.8429487,-0.695110321
156,756.8529007,-0.7173604965
157,756.8628517,-0.747926712
158,756.8728037,-0.7019586563
159,756.8827547,-0.7216348648
