,1,2
0,1039.932367,-47.47144318
1,1039.94232,-47.48329926
2,1039.952272,-47.40296936
3,1039.962225,-47.48680115
4,1039.972178,-47.47047424
5,1039.982131,-47.46016693
6,1039.992084,-47.44767761
7,1040.002036,-47.38005829
8,1040.011989,-47.40930176
9,1040.021942,-47.46739197
10,1040.031895,-47.5200119
11,1040.041847,-47.48760223
12,1040.0518,-47.37841797
13,1040.061753,-47.45141602
14,1040.071706,-47.36257935
15,1040.081659,-47.35520935
16,1040.091611,-47.43075562
17,1040.101564,-47.45973206
18,1040.111517,-47.48173523
19,1040.12147,-47.50907135
20,1040.131423,-47.46678162
21,1040.141376,-47.39025879
22,1040.151328,-47.36767578
23,1040.161281,-47.32093811
24,1040.171234,-47.38143921
25,1040.181187,-47.49452209
26,1040.191139,-47.53517151
27,1040.201092,-47.42465973
28,1040.211045,-47.35979462
29,1040.220998,-47.41017914
30,1040.230951,-47.36076355
31,1040.240903,-47.39293671
32,1040.250856,-47.42392731
33,1040.260809,-47.45633698
34,1040.270762,-47.45387268
35,1040.280715,-47.40275574
36,1040.290667,-47.54049683
37,1040.30062,-47.47712708
38,1040.310573,-47.41860962
39,1040.320526,-47.3968811
40,1040.330479,-47.39176941
41,1040.340431,-47.40211487
42,1040.350384,-47.47454071
43,1040.360337,-47.48548889
44,1040.37029,-47.5403595
45,1040.380243,-47.42839813
46,1040.390195,-47.42839813
47,1040.400148,-47.38598633
48,1040.410101,-47.44504547
49,1040.420054,-47.37321472
50,1040.430007,-47.49146271
51,1040.439959,-47.46004486
52,1040.449912,-47.40421295
53,1040.459865,-47.39697266
54,1040.469818,-47.44939423
55,1040.479771,-47.54489899
56,1040.489723,-47.49814606
57,1040.499676,-47.38687134
58,1040.509629,-47.41156006
59,1040.519582,-47.3720932
60,1040.529535,-47.57146454
61,1040.539487,-47.5429306
62,1040.54944,-47.49292755
63,1040.559393,-47.42881012
64,1040.569346,-47.39847565
65,1040.579299,-47.48449707
66,1040.589251,-47.4367218
67,1040.599204,-47.50797272
68,1040.609157,-47.48475647
69,1040.61911,-47.41696167
70,1040.629063,-47.46868896
71,1040.639015,-47.46850586
72,1040.648968,-47.52974701
73,1040.658921,-47.57996368
74,1040.668874,-47.52358246
75,1040.678827,-47.52513123
76,1040.688779,-47.48792267
77,1040.698732,-47.45404816
78,1040.708685,-47.58016205
79,1040.718638,-47.565979
80,1040.728591,-47.51891327
81,1040.738543,-47.5497818
82,1040.748496,-47.55870819
83,1040.758449,-47.63970184
84,1040.768402,-47.63362122
85,1040.778355,-47.64067841
86,1040.788307,-47.56361389
87,1040.79826,-47.50645447
88,1040.808213,-47.52111053
89,1040.818166,-47.5388031
90,1040.828119,-47.57505798
91,1040.838071,-47.59077454
92,1040.848024,-47.50850677
93,1040.857977,-47.49532318
94,1040.86793,-47.53014374
95,1040.877883,-47.45483398
96,1040.887835,-47.44527435
97,1040.897788,-47.37250519
98,1040.907741,-47.44086456
99,1040.917694,-47.46909332
100,1040.927647,-47.53336334
101,1040.937599,-47.58644867
102,1040.947552,-47.53559875
103,1040.957505,-47.53543091
104,1040.967458,-47.5309906
105,1040.977411,-47.5083313
106,1040.987363,-47.58535004
107,1040.997316,-47.48310089
108,1041.007269,-47.45134735
109,1041.017222,-47.52435303
110,1041.027175,-47.48612976
111,1041.037127,-47.51255035
112,1041.04708,-47.47872162
113,1041.057033,-47.50286865
114,1041.066986,-47.47796631
115,1041.076939,-47.43782043
116,1041.086891,-47.43782043
117,1041.096844,-47.56613159
118,1041.106797,-47.54029083
119,1041.11675,-47.53312683
120,1041.126703,-47.45639038
121,1041.136655,-47.37825775
122,1041.146608,-47.47596741
123,1041.156561,-47.46442413
124,1041.166514,-47.44425964
125,1041.176467,-47.53554535
126,1041.186419,-47.56105804
127,1041.196372,-47.64398956
128,1041.206325,-47.58550262
129,1041.216278,-47.58641052
130,1041.226231,-47.54418182
131,1041.236183,-47.46398163
132,1041.246136,-47.58578491
133,1041.256089,-47.65736389
134,1041.266042,-47.6496048
135,1041.275995,-47.58686829
136,1041.285947,-47.47332764
137,1041.2959,-47.48931122
138,1041.305853,-47.54677582
139,1041.315806,-47.62213135
140,1041.325759,-47.60311127
141,1041.335711,-47.55484009
142,1041.345664,-47.47679901
143,1041.355617,-47.45805359
144,1041.36557,-47.38937378
145,1041.375523,-47.38335419
146,1041.385475,-47.32474518
147,1041.395428,-47.24279022
148,1041.405381,-47.22140503
149,1041.415334,-47.27674103
150,1041.425287,-47.28578186
151,1041.435239,-47.24661255
152,1041.445192,-47.33213043
153,1041.455145,-47.45472717
154,1041.465098,-47.43380737
155,1041.475051,-47.49817657
156,1041.485003,-47.42636108
157,1041.494956,-47.33312988
158,1041.504909,-47.42097473
159,1041.514862,-47.40747833
